Campaign_ID,Date,Channel,Impressions,Clicks,Conversions,Spend_USD,Revenue_USD,CTR (%),CPC (USD),Analyst_Notes,Country,Ad_Type,Engagement_Rate
CMP001,2024-06-01,Google Ads,45000,2100,95,350.75,1200,4.67,0.17,Check attribution,USA,Video,0.08
CMP002,2024-06-01,Facebook,38000,1800,70,290.00,980,4.74,0.16,-,USA,Display,0.07
CMP003,2024-06-01,Instagram,41000,1950,80,320.50,1100,4.76,0.16,Review next week,Canada,Video,0.09
CMP004,2024-06-01,LinkedIn,17000,650,30,210.00,680,3.82,0.32,Low audience,UK,Carousel,0.06
CMP005,2024-06-02,Google Ads,52000,2300,100,370.00,1240,4.42,0.16,,USA,Display,0.08
CMP006,2024-06-02,Facebook,40000,1700,75,295.00,,4.25,0.17,Validate spend,India,Video,0.07
CMP007,2024-06-02,Instagram,,1600,68,310.00,950,3.90,0.19,-,USA,Display,0.07
CMP008,2024-06-02,LinkedIn,19000,700,25,,640,3.68,0.30,NA,Canada,Video,0.05
CMP009,2024-06-03,Google Ads,48000,,90,345.00,1180,4.60,0.18,Data pending,USA,Video,0.09
CMP010,2024-06-03,Facebook,39500,1750,,285.00,970,4.43,0.16,NA,UK,Carousel,0.07
CMP011,2024-06-03,Instagram,42000,1820,75,330.00,1080,4.33,0.18,Check trend,India,Display,0.08
CMP012,2024-06-03,LinkedIn,16500,640,20,205.50,600,3.88,0.32,,Canada,Video,0.06
CMP013,2024-06-04,Google Ads,51000,2250,98,360.50,1200,4.41,0.16,Good result,USA,Video,0.09
CMP014,2024-06-04,Facebook,38000,1700,72,280.00,950,4.47,0.16,,India,Carousel,0.07
CMP015,2024-06-04,Instagram,41500,1900,85,315.00,1110,4.57,0.17,Review creative,Canada,Video,0.08
CMP016,2024-06-04,LinkedIn,18000,720,28,215.00,690,4.00,0.30,Low impressions,UK,Display,0.06
CMP017,2024-06-05,Google Ads,49500,2180,96,350.00,1185,4.40,0.16,,USA,Video,0.09
CMP018,2024-06-05,Facebook,37000,1620,70,275.00,920,4.38,0.17,Pending review,India,Display,0.07
CMP019,2024-06-05,Instagram,40500,1850,78,310.00,1050,4.57,0.17,NA,Canada,Video,0.08
CMP020,2024-06-05,LinkedIn,16000,630,25,200.00,670,3.94,0.32,Audience narrow,UK,Carousel,0.06
CMP021,2024-06-06,Google Ads,53000,2350,102,375.00,1250,4.43,0.16,Looks good,USA,Display,0.09
CMP022,2024-06-06,Facebook,39000,1760,74,295.00,960,4.51,0.17,NA,India,Video,0.07
CMP023,2024-06-06,Instagram,43000,1980,83,325.00,1150,4.60,0.16,Check cost,Canada,Video,0.08
CMP024,2024-06-06,LinkedIn,17500,680,29,210.00,710,3.89,0.31,Underperforming,UK,Carousel,0.06
CMP025,2024-06-07,Google Ads,54000,2400,110,385.00,1280,4.44,0.16,Excellent,USA,Video,0.09
CMP026,2024-06-07,Facebook,40500,1820,77,305.00,980,4.49,0.17,,India,Display,0.07
CMP027,2024-06-07,Instagram,42500,2000,88,330.00,1180,4.70,0.17,NA,Canada,Video,0.08
CMP028,2024-06-07,LinkedIn,18500,710,27,220.00,720,3.84,0.31,Check targeting,UK,Carousel,0.06
CMP029,2024-06-08,Google Ads,55000,2450,112,390.00,1300,4.45,0.16,Strong day,USA,Video,0.09
CMP030,2024-06-08,Facebook,41000,1840,79,310.00,990,4.49,0.17,NA,India,Display,0.07
CMP031,2024-06-08,Instagram,43500,2020,85,335.00,1190,4.64,0.17,Optimize soon,Canada,Video,0.08
CMP032,2024-06-08,LinkedIn,19000,725,26,225.00,730,3.82,0.31,Need creative update,UK,Carousel,0.06
CMP033,2024-06-09,Google Ads,56000,2500,115,400.00,1320,4.46,0.16,On track,USA,Video,0.09
CMP034,2024-06-09,Facebook,41500,1860,80,315.00,995,4.48,0.17,,India,Display,0.07
CMP035,2024-06-09,Instagram,44000,2050,90,340.00,1210,4.66,0.17,Stable,Canada,Video,0.08
CMP036,2024-06-09,LinkedIn,19500,740,30,230.00,740,3.79,0.31,NA,UK,Carousel,0.06
CMP037,2024-06-10,Google Ads,57000,2550,118,410.00,1350,4.47,0.16,Great result,USA,Video,0.09
CMP038,2024-06-10,Facebook,42000,1880,82,320.00,1000,4.48,0.17,Need optimization,India,Display,0.07
CMP039,2024-06-10,Instagram,44500,2080,89,345.00,1220,4.67,0.17,NA,Canada,Video,0.08
CMP040,2024-06-10,LinkedIn,20000,760,32,235.00,750,3.80,0.31,Low CTR,UK,Carousel,0.06
CMP041,2024-06-11,Google Ads,58000,2600,120,420.00,1380,4.48,0.16,Performing well,USA,Display,0.09
CMP042,2024-06-11,Facebook,42500,1900,84,325.00,1010,4.47,0.17,NA,India,Video,0.07
CMP043,2024-06-11,Instagram,45000,2100,91,350.00,1230,4.67,0.17,Stable performance,Canada,Video,0.08
CMP044,2024-06-11,LinkedIn,20500,780,33,240.00,760,3.80,0.31,Under review,UK,Carousel,0.06
CMP045,2024-06-12,Google Ads,59000,2650,122,425.00,1390,4.49,0.16,Good ROI,USA,Video,0.09
CMP046,2024-06-12,Facebook,43000,1920,86,330.00,1020,4.47,0.17,NA,India,Display,0.07
CMP047,2024-06-12,Instagram,45500,2120,92,355.00,1240,4.66,0.17,NA,Canada,Video,0.08
CMP048,2024-06-12,LinkedIn,21000,800,35,245.00,770,3.81,0.31,NA,UK,Carousel,0.06
CMP049,2024-06-13,Google Ads,60000,2700,125,430.00,1400,4.50,0.16,Excellent,USA,Display,0.09
CMP050,2024-06-13,Facebook,43500,1950,88,335.00,1030,4.48,0.17,NA,India,Video,0.07
